engine,freq_min,regime,spread_bps,fold_id,pair,side,entry_ts,exit_ts,z_entry,z_exit,bars_held,sessions_held,gross_log_pnl,cost_log,net_log_pnl,exit_reason,pair_beta,cost_log_per_pair_rt,n_legs,schema_version
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-01T05:00:00,2019-04-09T09:35:00,2.1552768034857936,0.4771171277532216,505,6,-0.03262910188095702,0.0017400317901387458,-0.03436913367109577,mean_revert,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,long_spread,2019-04-11T08:15:00,2019-04-11T09:45:00,-2.212440415967677,0.03625882917088561,18,0,0.015306589650571745,0.0017400317901387458,0.013566557860432999,mean_revert,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-18T09:40:00,2019-04-22T06:35:00,2.0277899955029426,0.44939757536369396,38,1,0.007808432463740189,0.0017400317901387458,0.0060684006736014436,mean_revert,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,long_spread,2019-04-24T06:00:00,2019-04-24T08:15:00,-2.201877728332528,-0.0019227237314947067,27,0,0.010865666540623486,0.0017400317901387458,0.00912563475048474,mean_revert,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-24T09:15:00,2019-04-24T09:30:00,2.389617433419042,3.9467858560957785,3,0,-0.011423713409043579,0.0017400317901387458,-0.013163745199182324,stop,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-24T09:35:00,2019-04-24T09:40:00,4.086302931595435,4.069121017887452,1,0,-0.0006022808779801991,0.0017400317901387458,-0.0023423126681189448,stop,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-24T09:45:00,2019-04-24T09:50:00,4.182216650305545,3.796876122277317,1,0,0.0022057193019495713,0.0017400317901387458,0.0004656875118108255,stop,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-24T09:55:00,2019-04-25T05:00:00,4.254176527678166,3.98466751438653,16,1,-0.014028270829837375,0.0017400317901387458,-0.01576830261997612,stop,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-25T05:05:00,2019-04-25T05:10:00,3.7573444941428393,3.6719772956778503,1,0,7.757254839457772e-05,0.0017400317901387458,-0.0016624592417441681,stop,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
rolling_z,5,B,5,6,ULTRACEMCO/GRASIM,short_spread,2019-04-25T05:15:00,2019-04-25T05:20:00,3.7866061654892857,3.7123424950172312,1,0,-7.999495705313109e-05,0.0017400317901387458,-0.001820026747191877,stop,0.8316124106723641,0.0017400317901387458,2,v2-cost-beta-2026.06.11
